Table 3. Personal Income by State and Region: Level and Percent Change From Preceding Period,,,,,,,,,,,,,,,
,Millions of dollars,,,,,,,"Percent change from
preceding period1",,,,,,,
North Carolina ,"630,559","670,051","673,561","685,101","703,202","711,802","718,785",6.3,13,6,7,11,5,4,5
South Carolina ,"287,548","308,078","310,098","314,770","323,748","327,552","329,514",7.1,4,7.4,6.2,11.9,4.8,2.4,38
Tennessee ,"417,369","443,472","445,976","452,615","462,071","468,579","472,588",6.3,14,5.1,6.1,8.6,5.8,3.5,16
Virginia ,"604,996","643,579","646,815","658,210","669,586","677,753","683,173",6.4,12,3.9,7.2,7.1,5,3.2,23
West Virginia ,"88,939","93,505","93,612","95,075","97,143","97,700","98,523",5.1,39,1.3,6.4,9,2.3,3.4,17
Southwest ,"2,671,309","2,848,129","2,861,547","2,899,570","2,959,573","2,984,254","3,010,591",6.6,........,4.6,5.4,8.5,3.4,3.6,........
Arizona ,"434,339","464,775","467,296","472,049","483,923","487,323","490,673",7,5,2.9,4.1,10.4,2.8,2.8,33
New Mexico,"112,181","117,016","117,021","118,722","121,270","122,479","123,207",4.3,45,0.3,5.9,8.9,4,2.4,39
Oklahoma,"233,290","245,439","246,436","249,256","253,341","256,310","257,941",5.2,37,4.3,4.7,6.7,4.8,2.6,36
Texas,"1,891,499","2,020,899","2,030,794","2,059,543","2,101,039","2,118,143","2,138,770",6.8,7,5.3,5.8,8.3,3.3,4,6
Rocky Mountain ,"877,761","928,161","932,655","945,761","964,047","974,213","982,210",5.7,........,4.1,5.7,8,4.3,3.3,........
Colorado ,"447,854","470,606","472,402","478,849","487,164","491,119","495,163",5.1,42,3,5.6,7.1,3.3,3.3,19
Idaho ,"110,794","116,675","117,067","118,875","121,231","123,506","124,690",5.3,34,5,6.3,8.2,7.7,3.9,8
Montana ,"69,132","73,620","73,914","74,926","76,026","76,525","76,876",6.5,10,3.8,5.6,6,2.6,1.9,42
Utah ,"205,519","219,332","221,105","224,295","230,012","232,851","235,074",6.7,8,6,5.9,10.6,5,3.9,9
Wyoming ,"44,460","47,928","48,167","48,816","49,614","50,212","50,407",7.8,2,4.3,5.5,6.7,4.9,1.6,47
Far West,"4,203,822","4,444,680","4,470,581","4,513,859","4,651,578","4,705,717","4,741,266",5.7,........,3.8,3.9,12.8,4.7,3.1,........
Alaska ,"50,607","52,520","53,050","53,569","55,062","55,272","55,717",3.8,48,6.5,4,11.6,1.5,3.3,22
California ,"3,003,826","3,166,135","3,183,699","3,210,090","3,322,203","3,356,681","3,386,442",5.4,29,3.6,3.4,14.7,4.2,3.6,13
Hawaii ,"90,054","94,971","95,412","96,705","98,568","100,676","101,349",5.5,27,3.3,5.5,7.9,8.8,2.7,34
Nevada,"198,485","211,575","213,088","216,592","222,079","223,233","224,579",6.6,9,5.6,6.7,10.5,2.1,2.4,37
Oregon ,"271,773","287,182","289,282","290,969","297,316","302,014","304,198",5.7,23,4.9,2.4,9,6.5,2.9,30
Washington,"589,077","632,296","636,049","645,934","656,350","667,841","668,980",7.3,3,3.7,6.4,6.6,7.2,0.7,49
r Revised,,,,,,,,,,,,,,,
p Preliminary,,,,,,,,,,,,,,,
"1. Quarterly percent changes shown are annualized—that is, they are a percent change from the preceding period at annual rates.",,,,,,,,,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,
